                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                  1.025,                 0.6384,                0.94418,                 1.2397,                0.71322,                0.92004,                0.90842,                 0.7872,                0.84843,                 0.3275,                 2.0168,                 1.3624,                 1.0791,                 1.9099,                 1.3389,                 1.0297,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.0647,                0.60382,                0.89306,                 1.3023,                0.67333,                0.87071,                0.86208,                0.79953,                0.84275,                 0.3882,                 1.8968,                 1.3098,                 1.0466,                 1.8036,                 1.4607,                0.99518,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.1103,                0.60273,                0.93807,                 1.3054,                0.63099,                0.91195,                0.95074,                0.77373,                 0.8308,                 0.3361,                 2.1325,                   1.32,                 1.1642,                 2.0223,                 1.3777,                 1.0857,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.0735,                 0.5809,                0.93159,                 1.2632,                0.65119,                0.90256,                0.87948,                0.83127,                0.87053,                0.33723,                 1.9807,                 1.3043,                 1.1052,                 1.9817,                 1.3049,                 1.0724,             0.00073579,             0.00073579,             0.00073579
                     52,                0.98025,                0.54658,                0.94416,                 1.1445,                0.56493,                0.91916,                0.91518,                0.77883,                0.86352,                0.47085,                 1.7006,                 1.1775,                0.94818,                 1.8494,                 1.2355,                0.97305,             0.00072164,             0.00072164,             0.00072164
                     53,                0.99416,                0.57727,                0.91538,                 1.2707,                0.75741,                0.87768,                0.85567,                0.68254,                0.81511,                0.41136,                 2.0888,                 1.6186,                 1.0933,                 2.0688,                 1.4556,                 1.0349,              0.0007075,              0.0007075,              0.0007075
                     54,                0.92309,                0.53866,                0.93289,                 1.1294,                 0.6054,                0.91419,                0.73089,                0.78886,                0.74798,                0.36285,                  1.912,                 1.5268,                 1.0095,                 2.0557,                 1.6283,                 1.0357,             0.00069335,             0.00069335,             0.00069335
                     55,                  1.006,                0.60225,                0.90442,                 1.2281,                0.66272,                0.88384,                0.87122,                0.75779,                0.86711,                0.41119,                 1.8539,                 1.0666,                 1.0105,                 1.9334,                 1.1062,                 1.0155,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.0128,                0.55873,                0.90883,                 1.1854,                0.54937,                0.88429,                 0.8958,                0.85979,                0.89848,                0.35253,                 2.0522,                 1.0055,                 1.0973,                  2.131,                0.93536,                 1.0613,             0.00066506,             0.00066506,             0.00066506
                     57,                0.96041,                0.53986,                0.89957,                 1.1417,                0.55174,                0.88111,                0.92545,                 0.7466,                 0.8507,                 0.4007,                 2.0278,                 1.0518,                 1.0921,                 2.0963,                0.94468,                 1.0434,             0.00065091,             0.00065091,             0.00065091
